pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J165616.54,G4.453+16.618,16 56 16.50,-16 02 10.6,20160919,0.030754652,5.38125387,0.020519845,1.087462353,0.048321025,-0.736542273,-0.852597625,0.032808798,,,14.23,3.05,
J165719.63,G4.504+16.342,16 57 19.60,-16 09 23.7,20160117,0.0287806,5.164746585,0.025432578,0.88366403,0.059889743,-0.330937117,-0.311289783,0.018270643,,,14.82,3.93,
J185905.70,G6.537-14.650,18 59 05.70,-29 52 31.0,20160118,0.058699545,114.3304156,0.062096046,1.74275464,0.146226433,-0.347277821,-0.644236765,0.046812223,,,8.37,1.89,
J181016.45,G6.836-2.414,18 10 16.50,-24 13 33.6,20160611,0.042747423,11.08299188,0.056477537,2.09494908,0.132995766,-0.341945603,-0.762540131,0.041922664,,,1.53,0.1,
J181038.58,G6.924-2.462,18 10 38.60,-24 10 19.8,20160628,0.06176677,11.02212103,0.086471305,1.614121416,0.203626397,-0.276371997,-0.474856565,0.051877141,,,1.53,0.1,
J173923.27,G7.051+5.998,17 39 23.30,-19 47 54.2,20160407,0.037757002,10.31604429,0.037851524,1.813235983,0.089134419,-0.434418816,-0.838484747,0.035695879,,,3.03,2.35,
J173948.22,G7.135+5.935,17 39 48.20,-19 45 37.8,20160407,0.041089021,10.19676156,0.031449832,1.306412462,0.074059435,-0.456721227,-0.635131601,0.03118058,,,2.99,2.36,
J173955.89,G7.137+5.900,17 39 55.90,-19 46 35.8,20160407,0.045015924,10.14268715,0.039894604,1.158159707,0.093945553,-0.347588672,-0.428515244,0.030101651,,,2.98,2.36,
J174643.56,G7.536+4.274,17 46 43.60,-20 16 56.7,20160407,0.032407552,10.36877819,0.036128712,1.067991244,0.085077466,-0.315863477,-0.359086695,0.024772896,,,13.21,1.65,
J175938.49,G10.250+2.337,17 59 38.50,-18 55 26.9,20170217,0.043550901,4.989971116,0.063402593,1.866046029,0.149303189,-0.266264694,-0.528893398,0.036646927,,,1.24,0.05,
J175725.13,G10.302+2.973,17 57 25.10,-18 33 45.6,20170217,0.041420691,2.645906511,0.043681293,2.253545284,0.102862613,-0.494147279,-1.185372665,0.046857336,,,15.92,1.24,
J180015.96,G10.378+2.240,18 00 16.00,-18 51 39.1,20170217,0.039545592,5.383291036,0.074629927,1.558217266,0.175741805,-0.195363509,-0.324043766,0.031651771,,,1.24,0.18,
J180034.50,G10.506+2.229,18 00 34.50,-18 45 18.8,20170217,0.042650715,21.50402289,0.054011069,2.719732219,0.12718762,-0.408022935,-1.18125302,0.047840481,,,3.45,1.97,
J181938.86,G10.641-2.817,18 19 38.90,-21 04 28.5,20160628,0.054007176,10.78430205,0.08638572,1.722370754,0.203424859,-0.245760648,-0.450579259,0.046084386,,,1.25,0.05,
J181937.54,G10.670-2.795,18 19 37.50,-21 02 20.1,20160628,0.059700854,11.23593058,0.081941956,2.228317237,0.192960489,-0.307137002,-0.728519817,0.0546329,,,1.25,0.05,
J181938.42,G10.837-2.710,18 19 38.40,-20 51 05.9,20160628,0.050181303,12.13759716,0.094470508,1.923521495,0.22246327,-0.217683817,-0.4457131,0.04464072,,,1.25,0.05,
J181913.62,G10.840-2.599,18 19 13.60,-20 47 48.9,20160628,0.044859938,12.24101277,0.036029277,1.997220212,0.084843311,-0.564976565,-1.201126079,0.044188571,,,1.25,0.05,
J181843.50,G11.008-2.376,18 18 43.50,-20 32 36.7,20160628,0.05599568,11.39494001,0.061451315,1.265150219,0.144708234,-0.290079563,-0.390653247,0.038694479,,,1.25,0.05,
J183100.28,G16.815-2.619,18 31 00.30,-15 31 25.1,20160615,0.042796738,17.83265415,0.104357053,2.500031081,0.245744536,-0.197820113,-0.526439011,0.04481517,,,1.13,0.12,
J183054.66,G16.859-2.570,18 30 54.70,-15 27 45.6,20160615,0.04067548,18.27700166,0.052577666,2.087142153,0.123812179,-0.353764242,-0.785955889,0.040378137,,,1.13,0.12,
J182924.3,G16.864-2.160,18 29 24.70,-15 16 06.6,20161224,0.026952831,18.72836887,0.039452943,3.323143875,0.09290551,-0.353151765,-1.249230952,0.030245586,,,1.15,0.13,
J182924.30,G16.872-2.154,18 29 24.30,-15 15 30.0,20160117,0.023302432,18.98669826,0.034053138,3.292540211,0.080189814,-0.400315511,-1.403025987,0.029592427,Y,,1.15,0.13,
J182932.63,G16.883-2.186,18 29 32.60,-15 15 46.5,20160117,0.035567805,18.23866675,0.071438893,3.522551681,0.16822742,-0.290139229,-1.087917686,0.044995676,Y,,1.15,0.13,
J183042.50,G16.896-2.496,18 30 42.50,-15 23 42.8,20160615,0.043972474,18.4469794,0.105710553,2.164796046,0.248931818,-0.196061046,-0.451794055,0.044989199,,,1.13,0.12,
