pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?
J181422.18,G17.367+2.241,18 14 22.20,-12 45 21.2,20160422,0.066345014,10.61457619,0.164525204,2.884896048,0.387431123,-0.198792029,-0.61046581,0.0709949,,
J183404.78,G23.771+0.149,18 34 04.78,-8 04 39.0,20160806,0.071511082,79.6255969,0.161249357,2.359919725,0.379716985,-0.18569191,-0.466468609,0.064998181,,H
J183404.78,G23.771+0.149,18 34 04.78,-8 04 39.0,20160806,0.071511082,110.5126238,0.238179462,5.689017038,0.560875364,-0.195171394,-1.181913268,0.100913902,,H
J183515.55,G23.821-0.154,18 35 15.56,-8 10 21.0,20160806,0.048847575,74.92854861,0.226604429,5.070440556,0.533617979,-0.1406498,-0.759131521,0.069193614,,
J183330.70,G23.959+0.405,18 33 30.71,-7 47 33.0,20160806,0.044843245,51.61588642,0.215902874,3.494192755,0.508417491,-0.11178053,-0.415762421,0.052396103,,
J183404.02,G24.126+0.337,18 34 04.03,-7 40 31.5,20160807,0.070538469,50.35408278,0.184242971,3.085520924,0.433863371,-0.167020377,-0.548567615,0.066805736,,
J183616.68,G24.235-0.223,18 36 16.68,-7 50 13.1,20160807,0.046983406,53.27820838,0.171316007,2.853288171,0.403422392,-0.13928905,-0.423053044,0.051804574,,
J183631.49,G24.943+0.074,18 36 31.49,-7 04 16.9,20160905,0.043770008,44.57495816,0.32494775,5.881067908,0.803204829,-0.098899199,-0.619129046,0.070964605,Y,H
J183631.49,G24.943+0.074,18 36 31.49,-7 04 16.9,20160905,0.043770008,52.72049485,0.198512562,3.395558764,0.47599704,-0.12431,-0.449313564,0.054529249,Y,
J183921.69,G26.353+0.010,18 39 21.69,-5 50 54.3,20160908,0.042918868,102.3626774,0.354819659,6.928040446,0.835544789,-0.092921244,-0.685263564,0.071572239,,H
J183814.50,G26.545+0.422,18 38 14.50,-5 29 17.2,20160909,0.041056652,85.95048377,0.230128869,3.971280815,0.541917474,-0.107321538,-0.453680065,0.053616214,Y,H
J184004.42,G26.916+0.101,18 40 04.43,-5 18 21.0,20160909,0.052429602,90.99795559,0.17226219,2.376298474,0.405650474,-0.133646194,-0.338056893,0.049977903,,
J184030.70,G27.222+0.136,18 40 30.71,-5 01 04.6,20160911,0.085187815,33.21316685,0.312267322,4.681287382,0.7353407,-0.179858409,-0.896248125,0.121926137,,
J184416.36,G28.384-0.321,18 44 16.37,-4 11 37.5,20160914,0.042175133,47.9172803,0.168058829,2.079061736,0.395752242,-0.104481706,-0.231227696,0.038120803,,
J184551.83,G28.715-0.597,18 45 51.84,-4 01 28.9,20160916,0.040954877,83.92922665,0.263304906,6.113060198,0.620041862,-0.113317742,-0.737375656,0.06476663,,
J184358.87,G28.804-0.023,18 43 58.88,-3 40 59.6,20160916,0.038600575,80.99457899,0.146778479,1.963551986,0.345640321,-0.105776185,-0.221086647,0.03370367,,
J184358.87,G28.804-0.023,18 43 58.88,-3 40 59.6,20160916,0.038600575,101.4768698,0.330847993,6.384557471,0.779095263,-0.084620428,-0.575093193,0.060775158,Y,H
J184636.56,G29.780-0.260,18 46 36.57,-2 55 23.8,20160917,0.044345558,90.55713983,0.330029789,4.416877141,0.778094242,-0.079536361,-0.37394975,0.056996486,,H
J184636.56,G29.780-0.260,18 46 36.57,-2 55 23.8,20160917,0.044345558,100.5338964,0.19686592,4.20622818,0.464122547,-0.130084798,-0.582440525,0.055618942,,H
