Name,obs_date,rms,comp,Vpeak,Vpeak_err,FWHM,FWHM_err,Speak,Si,Si_err,direct_extract_Speak
NGC 7538 IRS1,20150929,0.13526054,absorption,-55.50066282,0.381094545,8.153049253,0.678910502,-0.45919904,-3.985228684,0.360444759,
NGC 7538 IRS1,20150929,0.13526054,Comp.I,-57.88187484,0.059248961,1.10122217,0.139748328,0.700398897,0.82101787,0.090133136,0.862423289
NGC 7538 IRS1,20150929,0.13526054,Comp.II,-60.09414032,0.044722558,0.830290332,0.105452555,0.805712776,0.712102387,0.0782643,0.961488444
NGC 7538 IRS1,20151202,0.07560033,absorption,-55.19527227,0.262057636,8.55513028,0.486312777,-0.352528494,-3.21035503,0.190732071,
NGC 7538 IRS1,20151202,0.07560033,Comp.I,-57.65904593,0.019715816,1.042570159,0.046438191,1.153801247,1.280467336,0.049385822,1.122664371
NGC 7538 IRS1,20151202,0.07560033,Comp.II,-59.86769307,0.01427865,0.716593491,0.033630006,1.320867726,1.007544875,0.040944372,1.35799255
NGC 7538 IRS1,20151205,0.052780799,absorption,-55.33022469,0.17905561,6.033681817,0.343276018,-0.383994304,-2.466263051,0.144612556,
NGC 7538 IRS1,20151205,0.052780799,Comp.I,-57.63433515,0.014103085,0.997667061,0.03321332,1.16465774,1.236847516,0.035657107,1.219902626
NGC 7538 IRS1,20151205,0.052780799,Comp.II,-59.85459042,0.011159149,0.706718846,0.026279841,1.23887597,0.931980256,0.030011269,1.334738168
NGC 7538 IRS1,20151211,0.053289914,absorption,-55.32623888,0.164818805,7.939833616,0.320739603,-0.371843955,-3.142710218,0.127739622,
NGC 7538 IRS1,20151211,0.053289914,Comp.I,-57.60558319,0.030722045,0.82948285,0.072345808,0.468737498,0.413875119,0.031261117,0.458498945
NGC 7538 IRS1,20151211,0.053289914,Comp.II,-59.85443072,0.022059967,0.739181057,0.0519479,0.616261881,0.484895712,0.029511104,0.643926604
NGC 7538 IRS1,20151212,0.047318067,absorption,-55.30005375,0.190170076,7.905131305,0.355102866,-0.348110214,-2.929260962,0.137136425,
NGC 7538 IRS1,20151212,0.047318067,Comp.I,-57.67590654,0.015092683,0.945286762,0.03554675,1.02669923,1.033092057,0.033639772,1.041201724
NGC 7538 IRS1,20151212,0.047318067,Comp.II,-59.86473457,0.012612227,0.78673663,0.029704212,1.1209184,0.938718938,0.030690027,1.145372468
NGC 7538 IRS1,20151214,0.04464663,absorption,-56.09476544,0.21931849,8.090546627,0.402930065,-0.267535667,-2.304049279,0.122255967,
NGC 7538 IRS1,20151214,0.04464663,Comp.I,-57.71810339,0.015355678,1.030698301,0.036179293,0.979788395,1.0749693,0.032666072,1.018088636
NGC 7538 IRS1,20151214,0.04464663,Comp.II,-59.87090109,0.011537242,0.749152644,0.02717997,1.111818368,0.886617648,0.027849889,1.179827427
NGC 7538 IRS1,20160115,0.151353877,absorption,-55.20073142,0.436718506,7.582368421,0.810841466,-0.378782843,-3.057224926,0.342197984,
NGC 7538 IRS1,20160115,0.151353877,Comp.I,-57.66994245,0.047641905,1.086697797,0.11219951,0.901377031,1.042671455,0.093224632,0.90230487
NGC 7538 IRS1,20160115,0.151353877,Comp.II,-59.82870947,0.026560054,0.550105003,0.062547096,1.150549693,0.673725811,0.066333303,1.274660488
